LSA,600 MHz,700 MHz,800 MHz,900 MHz,1800 MHz,2100 MHz,2300 MHz,2500 MHz,3300 MHz,26 GHz
Andhra Pradesh,40,0,10,2,9,15,10,20,50,400
Assam,40,0,0,1.8,4.6,0,0,20,100,650
Bihar,40,0,10,4.8,0,0,0,20,50,650
Delhi,40,0,6.25,0.8,11,10,10,20,50,450
Gujarat,40,0,3.75,1.6,4,5,0,20,50,100
Haryana,40,0,3.75,4.6,23.4,0,0,20,50,250
Himachal Pradesh,40,0,7.5,3.4,13.2,15,0,30,70,650
Jammu & Kashmir,40,0,2.5,3.4,6,0,0,30,70,650
Karnataka,40,0,6.25,2.4,4.8,5,10,40,20,400
Kerala,40,0,6.25,1.4,25.4,0,0,20,20,0
Kolkata,40,0,5,2.6,13.6,10,10,20,50,450
Madhya Pradesh,40,0,5,4.4,0,10,0,20,20,250
Maharashtra,40,0,5,2.8,2.4,5,0,20,50,250
Mumbai,40,0,5,0.8,18.4,10,10,20,50,350
North East,40,0,0,3.4,2.2,0,0,20,70,650
Orissa,40,0,8.75,3.4,7.8,10,0,20,100,650
Punjab,40,0,7.5,0,4.8,5,0,20,50,350
Rajasthan,40,0,5,0,2,0,0,20,20,300
Tamil Nadu,40,0,6.25,6,3.4,0,10,40,50,300
Uttar Pradesh (East),40,0,10,0,0,0,0,20,50,400
Uttar Pradesh (West),40,0,0,6.8,14.8,5,0,20,20,300
West Bengal,40,0,5,0,0,0,0,20,50,250
