band,seller,buyer,lsa,traded_spectrum,effect_date,traded_price,status
800,RCL,Jio,Andhra Pradesh,3.75,17-05-2016,6.88,Active
,,,Delhi,3.75,17-05-2016,9.62,Active
,,,Gujarat,3.75,17-05-2016,0.84,Active
,,,Karnataka ,3.75,06-07-2016,2.86,Active
,,,Kerala ,3.75,06-07-2016,2.3,Active
,,,Kolkata,5,17-05-2016,2.23,Active
,,,Maharashtra,3.75,17-05-2016,9.08,Active
,,,Punjab ,3.75,17-05-2016,0.97,Active
,,,Rajasthan ,2.5,06-07-2016,1.29,Active
,,,Tamilnadu ,3.75,06-07-2016,3.53,Active
,,,Uttar Pradesh (East),1.25,17-05-2016,0.51,Active
,,,Uttar Pradesh (West),5,17-05-2016,1.44,Active
,,,West Bengal,3.75,17-05-2016,0.65,Active
800,Bharti,Jio,Andhra Pradesh,3.75,17-05-2016,10.4,Active
,,,Delhi,1.25,17-05-2016,5.97,Active
,,,Mumbai,2.5,17-05-2016,13.57,Active
1800,Videocon,Bharti,Bihar,5,18-05-2016,4.48,Active
,,,Gujarat,5,18-05-2016,17.29,Active
,,,Haryana ,5,18-05-2016,3.4,Active
,,,Madhya Pradesh,5,18-05-2016,6.04,Active
,,,Uttar Pradesh (East),5,18-05-2016,8.34,Active
,,,Uttar Pradesh (West),5,18-05-2016,6.98,Active
2300,Aircel,Bharti,Andhra Pradesh,20,16-11-2016,16.28,Active
,,,Assam,20,17-06-2016,0.54,Active
,,,Bihar ,20,17-06-2016,1.51,Active
,,,Jammu and Kashmir,20,17-06-2016,0.33,Active
,,,North East ,20,17-06-2016,0.33,Active
,,,Orissa ,20,30-06-2016,1.01,Active
,,,Tamilnadu ,20,17-06-2016,31.46,Active
,,,West Bengal,20,17-06-2016,1.08,Active
2300,Tikona,Bharti,Rajasthan ,20,15-11-2017,1.66,Active
